Category,Count,Percentage
psychotherapist,113,0.11528141928770366
spas,703,0.7171932545066874
stadium_arena,92,0.09385743871211272
ice_skating_rink,28,0.028565307434121258
waterfall,2,0.002040379102437233
food,78,0.07957478499505208
media_news_website,7,0.0071413268585303145
reflexology,12,0.012242274614623398
construction_services,563,0.574366717336081
b2b_medical_support_services,1,0.0010201895512186164
painting,106,0.10814009242917334
t_shirt_store,32,0.032646065638995726
software_development,741,0.7559604574529948
employment_agencies,390,0.3978739249752604
marketing_agency,617,0.6294569531018863
makeup_artist,35,0.03570663429265158
test_preparation,11,0.011222085063404781
lawyer,955,0.9742810214137787
business_to_business,32,0.032646065638995726
airport_terminal,30,0.030605686536558492
shoe_store,311,0.31727895042898974
car_rental_agency,125,0.12752369390232704
recycling_center,23,0.02346435967802818
dj_service,10,0.010201895512186164
travel,167,0.17037165505350893
bus_station,36,0.03672682384387019
real_estate_service,170,0.1734322237071648
parking,445,0.4539843502922843
tire_dealer_and_repair,127,0.12956407300476427
driving_school,137,0.13976596851695045
hobby_shop,40,0.040807582048744656
laboratory_testing,163,0.1662908968486345
freight_and_cargo_service,258,0.263208904214403
windows_installation,116,0.11834198794135951
mattress_manufacturing,3,0.0030605686536558496
party_and_event_planning,34,0.03468644474143296
hindu_temple,62,0.06325175217555422
cheese_shop,25,0.02550473878046541
business_advertising,118,0.12038236704379675
home_cleaning,347,0.3540057742728599
mortgage_broker,562,0.5733465277848624
retirement_home,234,0.23872435498515626
charity_organization,238,0.24280511319003073
language_school,122,0.1244631252486712
mobile_phone_store,385,0.3927729772191673
river,23,0.02346435967802818
coworking_space,11,0.011222085063404781
thai_restaurant,171,0.1744524132583834
pharmaceutical_companies,28,0.028565307434121258
appliance_store,81,0.08263535364870793
speech_therapist,33,0.033666255190214336
glass_and_mirror_sales_service,48,0.04896909845849359
internet_cafe,20,0.020403791024372328
architectural_designer,270,0.2754511788290265
bike_repair_maintenance,10,0.010201895512186164
hair_replacement,14,0.014282653717060629
gymnastics_center,18,0.018363411921935094
photography_store_and_services,39,0.03978739249752604
german_restaurant,2,0.002040379102437233
pet_sitting,35,0.03570663429265158
food_beverage_service_distribution,90,0.09181705960967548
hospice,10,0.010201895512186164
hair_removal,56,0.057130614868242516
plastic_surgeon,65,0.06631232082921007
pool_billiards,29,0.02958549698533988
sports_wear,54,0.05509023576580528
home_decor,38,0.03876720294630742
movers,92,0.09385743871211272
industrial_equipment,167,0.17037165505350893
asian_fusion_restaurant,36,0.03672682384387019
financial_advising,212,0.21628018485834669
personal_injury_law,52,0.053049856663368054
labor_union,47,0.04794890890727497
atms,243,0.2479060609461238
beverage_supplier,43,0.04386815070240051
department_store,100,0.10201895512186164
hat_shop,19,0.01938360147315371
children's_clothing_store,104,0.10609971332673611
smoothie_juice_bar,165,0.1683312759510717
lingerie_store,43,0.04386815070240051
bicycle_shop,126,0.12854388345354567
home_goods_store,70,0.07141326858530316
eyewear_and_optician,275,0.2805521265851195
steakhouse,60,0.061211373073116984
japanese_restaurant,183,0.1866946878730068
bookstore,192,0.19587639383397437
liquor_store,209,0.21321961620469082
computer_store,49,0.04998928800971221
salad_bar,20,0.020403791024372328
mattress_store,67,0.0683526999316473
aromatherapy,10,0.010201895512186164
hair_supply_stores,38,0.03876720294630742
desserts,106,0.10814009242917334
shopping_center,194,0.1979167729364116
chocolatier,56,0.057130614868242516
tea_room,83,0.08467573275114516
used_vintage_and_consignment,29,0.02958549698533988
designer_clothing,33,0.033666255190214336
books_mags_music_and_video,13,0.013262464165842014
kitchen_supply_store,6,0.006121137307311699
frozen_yoghurt_shop,12,0.012242274614623398
investing,108,0.11018047153161056
beer_wine_and_spirits,47,0.04794890890727497
shredding_services,33,0.033666255190214336
foundation_repair,2,0.002040379102437233
environmental_and_ecological_services_for_businesses,18,0.018363411921935094
pool_cleaning,40,0.040807582048744656
vitamins_and_supplements,79,0.0805949745462707
tutoring_center,263,0.2683098519704961
printing_services,406,0.4141969577947583
office_equipment,37,0.037747013395088805
real_estate_law,36,0.03672682384387019
door_sales_service,7,0.0071413268585303145
acupuncture,178,0.18159374011691373
winery,25,0.02550473878046541
auction_house,43,0.04386815070240051
credit_union,51,0.05202966711214944
sewing_and_alterations,85,0.0867161118535824
key_and_locksmith,124,0.12650350435110844
public_market,2,0.002040379102437233
structure_and_geography,18,0.018363411921935094
rental_services,63,0.06427194172677284
first_aid_class,20,0.020403791024372328
movie_television_studio,81,0.08263535364870793
flooring_store,10,0.010201895512186164
carpet_store,250,0.2550473878046541
rv_rentals,1,0.0010201895512186164
storage_facility,207,0.2111792371022536
self_storage_facility,84,0.08569592230236378
outlet_store,6,0.006121137307311699
screen_printing_t_shirt_printing,60,0.061211373073116984
custom_clothing,5,0.005100947756093082
motorcycle_dealer,32,0.032646065638995726
commercial_real_estate,75,0.07651421634139623
golf_course,23,0.02346435967802818
specialty_school,67,0.0683526999316473
child_care_and_day_care,36,0.03672682384387019
history_museum,19,0.01938360147315371
pilates_studio,81,0.08263535364870793
osteopathic_physician,20,0.020403791024372328
countertop_installation,122,0.1244631252486712
tax_law,3,0.0030605686536558496
internet_marketing_service,90,0.09181705960967548
laser_hair_removal,112,0.11426122973648503
water_treatment_equipment_and_services,27,0.02754511788290264
peruvian_restaurant,16,0.016323032819497863
oil_change_station,7,0.0071413268585303145
yoga_studio,163,0.1662908968486345
pakistani_restaurant,34,0.03468644474143296
afghan_restaurant,27,0.02754511788290264
massage_therapy,68,0.06937288948286592
medical_spa,119,0.12140255659501537
hair_stylist,21,0.021423980575590945
sandwich_shop,156,0.15914956999010416
greek_restaurant,90,0.09181705960967548
party_supply,92,0.09385743871211272
social_service_organizations,382,0.3897124085655115
chicken_restaurant,223,0.22750226992175143
energy_company,35,0.03570663429265158
fence_and_gate_sales_service,23,0.02346435967802818
auto_loan_provider,13,0.013262464165842014
topic_publisher,109,0.11120066108282918
mountain,7,0.0071413268585303145
rock_climbing_spot,10,0.010201895512186164
mosque,82,0.08365554319992655
car_sharing,2,0.002040379102437233
medical_research_and_development,43,0.04386815070240051
diagnostic_imaging,19,0.01938360147315371
arcade,24,0.024484549229246796
plastic_manufacturer,29,0.02958549698533988
badminton_court,5,0.005100947756093082
middle_eastern_restaurant,134,0.1367053998632946
uniform_store,13,0.013262464165842014
carpenter,60,0.061211373073116984
commercial_industrial,104,0.10609971332673611
animal_shelter,10,0.010201895512186164
packing_supply,37,0.037747013395088805
environmental_conservation_and_ecological_organizations,14,0.014282653717060629
garbage_collection_service,89,0.09079687005845687
youth_organizations,95,0.09691800736576855
environmental_conservation_organization,19,0.01938360147315371
martial_arts_club,313,0.31931932953142694
karaoke,27,0.02754511788290264
delicatessen,53,0.05407004621458667
health_food_store,165,0.1683312759510717
sushi_restaurant,370,0.3774701339508881
day_spa,27,0.02754511788290264
luggage_store,29,0.02958549698533988
political_organization,52,0.053049856663368054
diner,124,0.12650350435110844
comic_books_store,35,0.03570663429265158
shades_and_blinds,5,0.005100947756093082
